id,agent,user,user_id,repo_id,html_url,api_url,status,http_status,additions,deletions,changed_files,commits,author_association,draft,maintainer_can_modify,github_merged,github_state,rate_limit_remaining,rate_limit_reset,fetched_at,error
3083469285,OpenAI_Codex,peter-lawrey,1070321,12974177,https://github.com/OpenHFT/Java-Thread-Affinity/pull/148,https://api.github.com/repos/OpenHFT/Java-Thread-Affinity/pulls/148,ok,200,25,0,1,1,MEMBER,False,False,True,closed,4361,1780523753,2026-06-03T21:14:05.512725+00:00,
3160657919,OpenAI_Codex,simba-git,64661186,958026130,https://github.com/featureform/enrichmcp/pull/78,https://api.github.com/repos/featureform/enrichmcp/pulls/78,ok,200,5,1,1,2,CONTRIBUTOR,False,False,True,closed,4360,1780523753,2026-06-03T21:14:06.741664+00:00,
3203701912,OpenAI_Codex,robinkarlberg,10927692,641042935,https://github.com/robinkarlberg/transfer.zip-web/pull/33,https://api.github.com/repos/robinkarlberg/transfer.zip-web/pulls/33,ok,200,9,1,1,1,OWNER,False,False,True,closed,4359,1780523753,2026-06-03T21:14:07.863854+00:00,
3125803217,OpenAI_Codex,Schniz,2054772,237742072,https://github.com/Schniz/cmd-ts/pull/224,https://api.github.com/repos/Schniz/cmd-ts/pulls/224,ok,200,1,1,1,1,OWNER,False,False,True,closed,4358,1780523753,2026-06-03T21:14:08.993191+00:00,
3154734636,Claude_Code,stefanoamorelli,10986064,993521808,https://github.com/openai/openai-agents-js/pull/119,https://api.github.com/repos/openai/openai-agents-js/pulls/119,ok,200,2161,2,18,1,NONE,True,False,False,closed,4357,1780523753,2026-06-03T21:14:10.121431+00:00,
3077861823,OpenAI_Codex,crawshaw,161319,959470185,https://github.com/boldsoftware/sketch/pull/112,https://api.github.com/repos/boldsoftware/sketch/pulls/112,ok,200,6,6,1,1,CONTRIBUTOR,False,False,False,closed,4356,1780523753,2026-06-03T21:14:11.656116+00:00,
3208524171,OpenAI_Codex,mtrezza,5673677,50623416,https://github.com/parse-community/parse-dashboard/pull/2871,https://api.github.com/repos/parse-community/parse-dashboard/pulls/2871,ok,200,48,13,3,2,MEMBER,False,False,True,closed,4355,1780523753,2026-06-03T21:14:13.357960+00:00,
3202342970,OpenAI_Codex,abuzuhri,3703300,400249201,https://github.com/abuzuhri/Amazon-SP-API-CSharp/pull/873,https://api.github.com/repos/abuzuhri/Amazon-SP-API-CSharp/pulls/873,ok,200,54,54,6,1,OWNER,False,False,True,closed,4354,1780523753,2026-06-03T21:14:14.633114+00:00,
3111577367,OpenAI_Codex,marsninja,8206008,422711680,https://github.com/jaseci-labs/jaseci/pull/2049,https://api.github.com/repos/jaseci-labs/jaseci/pulls/2049,ok,200,30,56,2,2,COLLABORATOR,False,False,True,closed,4353,1780523753,2026-06-03T21:14:15.953469+00:00,
3151402083,OpenAI_Codex,lukaszsamson,1078186,126747237,https://github.com/elixir-lsp/elixir_sense/pull/320,https://api.github.com/repos/elixir-lsp/elixir_sense/pulls/320,ok,200,8,0,1,1,COLLABORATOR,False,False,True,closed,4352,1780523753,2026-06-03T21:14:16.880775+00:00,
