pr_id,agent,n_discussion_items,vader_mean,textblob_mean,senticr_negative_share,merged,repo_id,log_discussion_items
3205771814.0,Copilot,10,0.10578000000000001,0.19304112554112557,0.5,1,33010673,2.3978952727983707
3205804047.0,Copilot,3,0.31020000000000003,0.16666666666666666,0.3333333333333333,1,696529789,1.3862943611198906
3205952716.0,Copilot,2,0.0,0.0,0.0,0,195893425,1.0986122886681098
3205955913.0,Copilot,2,0.0,0.0,0.0,0,195893425,1.0986122886681098
3205980960.0,Copilot,4,-0.085,0.0,0.0,1,991787132,1.6094379124341003
3206197492.0,Copilot,2,0.08779999999999999,0.026785714285714284,0.0,1,722740195,1.0986122886681098
3206203957.0,Copilot,3,0.0,-0.13333333333333333,0.6666666666666666,1,680120071,1.3862943611198906
3206231176.0,Copilot,5,-0.07922,0.08,0.2,0,172733314,1.791759469228055
3206231303.0,Copilot,1,0.0,0.0,1.0,0,416855086,0.6931471805599453
3206264749.0,Copilot,8,0.0875375,0.0875,0.125,1,991787132,2.1972245773362196
3206330418.0,Copilot,1,0.128,-0.05,0.0,1,269027,0.6931471805599453
3206333392.0,Cursor,2,-0.02184999999999998,-0.3541666666666667,0.0,1,117463191,1.0986122886681098
3206340161.0,Copilot,6,-0.153,-0.11709104938271604,0.16666666666666666,0,299862,1.9459101490553132
3206444195.0,Copilot,4,0.02969999999999999,0.125,0.0,0,527896392,1.6094379124341003
3206451713.0,OpenAI_Codex,1,-0.6249,0.0,0.0,0,357728969,0.6931471805599453
3206464379.0,Cursor,2,-0.02184999999999998,-0.3541666666666667,0.0,1,117463191,1.0986122886681098
3206495507.0,Copilot,1,0.0772,0.0,0.0,0,346526277,0.6931471805599453
3206600707.0,Copilot,2,-0.46195,0.004978354978354979,1.0,1,986861312,1.0986122886681098
3206615192.0,Copilot,1,0.0,0.0,0.0,0,873824041,0.6931471805599453
3206743230.0,Copilot,1,0.3818,0.0,0.0,1,224980941,0.6931471805599453
3206821072.0,OpenAI_Codex,1,0.7177,0.425,0.0,1,952097046,0.6931471805599453
3206827602.0,Copilot,2,0.45930000000000004,-0.03333333333333333,0.5,0,8546198,1.0986122886681098
3206831441.0,Copilot,7,0.07762857142857142,-0.02694805194805195,0.14285714285714285,1,8546198,2.0794415416798357
3206834000.0,Copilot,12,0.16484166666666666,0.029241071428571422,0.08333333333333333,0,8546198,2.5649493574615367
3206984303.0,OpenAI_Codex,1,0.4738,0.0,0.0,1,224980941,0.6931471805599453
3207221136.0,Claude_Code,1,0.5991,0.20500000000000002,1.0,1,968197216,0.6931471805599453
3207238334.0,OpenAI_Codex,2,-0.0844,0.05,0.0,1,50623416,1.0986122886681098
3207348309.0,Copilot,5,0.14401999999999998,-0.03333333333333333,0.0,1,27460436,1.791759469228055
3207352048.0,Copilot,4,0.46192500000000003,0.325,0.0,1,104365663,1.6094379124341003
3207365350.0,Copilot,4,0.533825,0.14166666666666666,0.75,1,54298946,1.6094379124341003
3207371743.0,Copilot,4,0.05135,0.0,0.0,1,576719801,1.6094379124341003
3207423060.0,Cursor,1,0.8779,0.39999999999999997,0.0,1,1010264689,0.6931471805599453
3207573880.0,Copilot,5,0.50508,0.04091991341991342,0.4,0,285679939,1.791759469228055
3207595792.0,Copilot,5,-0.10991999999999999,-0.08,0.0,1,269027,1.791759469228055
3207638926.0,Copilot,2,-0.6241,-0.5,0.5,0,133684,1.0986122886681098
3207644886.0,Copilot,1,0.0,0.4,1.0,0,299862,0.6931471805599453
3207665528.0,Copilot,10,-0.16199000000000002,-0.03388888888888889,0.2,1,5297370,2.3978952727983707
3207730994.0,Copilot,1,0.0,0.1,1.0,1,521583,0.6931471805599453
3207909459.0,Copilot,3,0.20163333333333333,0.08333333333333333,0.3333333333333333,0,716131429,1.3862943611198906
3207941907.0,Devin,2,0.08265,0.0,0.5,1,839216423,1.0986122886681098
3207947406.0,Cursor,2,0.0129,0.0,0.0,1,46273445,1.0986122886681098
3208009671.0,Copilot,1,0.0,0.0,1.0,1,39242894,0.6931471805599453
3208129291.0,Copilot,1,0.0,0.0,0.0,0,65080725,0.6931471805599453
3208130662.0,Copilot,3,-0.03423333333333333,0.041666666666666664,0.6666666666666666,0,65080725,1.3862943611198906
3208198363.0,Copilot,1,0.0,-0.05,1.0,0,41881900,0.6931471805599453
3208320625.0,Copilot,1,-0.7096,0.1586734693877551,1.0,0,99705100,0.6931471805599453
3208358320.0,Cursor,3,0.030000000000000002,0.10833333333333332,0.0,1,609957061,1.3862943611198906
3208366231.0,Copilot,1,0.0,0.0,0.0,0,41881900,0.6931471805599453
3208524171.0,OpenAI_Codex,2,-0.0844,0.05,0.0,1,50623416,1.0986122886681098
3208543088.0,Copilot,1,-0.1027,0.2380952380952381,0.0,0,380501914,0.6931471805599453
3208544571.0,Copilot,2,0.46795,0.3875,0.5,0,380501914,1.0986122886681098
3208545473.0,Copilot,5,-0.04882000000000001,0.08466666666666667,0.0,1,29048891,1.791759469228055
3208548860.0,Copilot,2,0.0,0.0,0.0,0,34526884,1.0986122886681098
3208672912.0,Devin,3,0.11333333333333334,0.047619047619047616,0.0,1,941289933,1.3862943611198906
3208727721.0,OpenAI_Codex,1,-0.5707,0.1,0.0,0,50623416,0.6931471805599453
3208736303.0,Copilot,5,-0.24114,-0.45,0.0,1,65080725,1.791759469228055
3208758336.0,Copilot,5,0.12728,0.060606060606060594,0.0,1,208540153,1.791759469228055
3208915386.0,Copilot,2,-0.09990000000000002,0.375,0.0,1,210716005,1.0986122886681098
3209006885.0,Copilot,2,0.28595,0.15,0.0,1,392768635,1.0986122886681098
3209180187.0,Copilot,1,-0.6077,0.021875000000000006,0.0,0,2751199,0.6931471805599453
3209336162.0,Copilot,3,0.0,0.0,0.0,0,208540153,1.3862943611198906
3209378291.0,Copilot,3,0.31020000000000003,0.03333333333333333,0.0,1,184717139,1.3862943611198906
3209438016.0,Copilot,2,0.20995,0.0,0.0,1,169659078,1.0986122886681098
3209445091.0,Copilot,9,0.0043555555555555535,0.00925925925925926,0.3333333333333333,1,732798198,2.302585092994046
3209482702.0,Copilot,1,0.0,0.0,0.0,0,355718757,0.6931471805599453
3209569709.0,Copilot,15,-0.008160000000000002,0.04784920634920634,0.06666666666666667,1,967503541,2.772588722239781
3209606836.0,Copilot,2,0.1591,0.0,0.0,0,675740952,1.0986122886681098
3209619194.0,Copilot,5,0.16366,0.04216666666666667,0.6,1,210716005,1.791759469228055
3209626947.0,Copilot,2,0.6904,0.16770833333333332,0.0,1,22624502,1.0986122886681098
3209647114.0,Copilot,1,-0.4585,-0.4,0.0,0,765938063,0.6931471805599453
3209650898.0,Copilot,2,-0.13895,0.0,0.5,1,222508781,1.0986122886681098
3209660072.0,Copilot,6,0.2674,0.04645061728395063,0.6666666666666666,1,327696712,1.9459101490553132
3209661206.0,Copilot,2,0.07975,0.019444444444444448,0.0,0,20929025,1.0986122886681098
3209703127.0,Copilot,1,0.4019,0.0,1.0,0,765938063,0.6931471805599453
3209723205.0,Claude_Code,1,0.9699,0.1783603896103896,0.0,0,995029641,0.6931471805599453
3209727238.0,Copilot,3,0.5084666666666666,0.21639700577200574,0.0,1,33010673,1.3862943611198906
3209745551.0,Devin,9,0.21726666666666666,0.17273148148148146,0.0,0,710601088,2.302585092994046
3209766600.0,Copilot,1,-0.5423,0.0,0.0,0,61973853,0.6931471805599453
3209779447.0,OpenAI_Codex,1,0.9313,0.375,0.0,0,775839592,0.6931471805599453
3209796838.0,Copilot,8,0.0102,-0.01875,0.0,0,170592186,2.1972245773362196
3209809556.0,Devin,2,0.1977,0.09318181818181817,1.0,0,36385798,1.0986122886681098
3209838352.0,Devin,1,0.9973,0.21785714285714283,1.0,0,710601088,0.6931471805599453
3209849017.0,Copilot,3,-0.07363333333333334,0.0,0.0,0,41997606,1.3862943611198906
3209849522.0,Copilot,14,0.07007142857142856,0.08686868686868687,0.07142857142857142,1,35890081,2.70805020110221
3209861533.0,Copilot,6,0.20210000000000003,0.10328282828282827,0.16666666666666666,0,225386107,1.9459101490553132
3209872688.0,Copilot,1,0.6597,0.13333333333333333,0.0,1,35890081,0.6931471805599453
3209876264.0,Copilot,1,0.7096,0.775,0.0,0,863717537,0.6931471805599453
3209908129.0,Copilot,22,0.07454545454545455,0.12181214618714618,0.18181818181818182,0,765938063,3.1354942159291497
3209926289.0,Copilot,3,-0.0691,-0.20833333333333334,0.6666666666666666,0,221058575,1.3862943611198906
3209929940.0,Copilot,11,0.0988090909090909,0.11201298701298702,0.09090909090909091,1,35890081,2.4849066497880004
3209933068.0,Copilot,3,0.38023333333333337,0.17777777777777778,0.0,1,35890081,1.3862943611198906
3209950297.0,Cursor,1,0.0,0.0,0.0,0,752003386,0.6931471805599453
3209954297.0,Copilot,6,-0.12878333333333333,-0.0375,0.3333333333333333,1,41881900,1.9459101490553132
3209964949.0,Cursor,1,0.0,0.5,0.0,1,336102115,0.6931471805599453
3209986350.0,Copilot,1,0.5267,0.45,0.0,0,20929025,0.6931471805599453
3209991607.0,Copilot,7,-0.1458857142857143,-0.0375,0.0,0,157996951,2.0794415416798357
3210012567.0,Copilot,3,0.27253333333333335,0.007440476190476189,0.3333333333333333,1,462970596,1.3862943611198906
3210037675.0,Copilot,1,0.1901,0.0,0.0,1,121814210,0.6931471805599453
3210054056.0,Copilot,16,0.10931874999999999,-0.21341145833333333,0.25,1,69087664,2.833213344056216
3210076893.0,OpenAI_Codex,1,-0.5707,0.1,0.0,0,50623416,0.6931471805599453
3210120746.0,Copilot,2,0.1806,0.03409090909090909,0.0,1,732798198,1.0986122886681098
3210123455.0,Copilot,2,0.0398,-0.031076388888888903,0.0,1,732798198,1.0986122886681098
3210150656.0,Copilot,2,-0.2207,0.15284090909090908,0.0,0,121814210,1.0986122886681098
3210172444.0,Copilot,4,0.30189999999999995,0.09583333333333333,0.25,1,185841694,1.6094379124341003
3210178155.0,Copilot,11,0.034354545454545464,0.09393939393939393,0.09090909090909091,1,210716005,2.4849066497880004
3210239309.0,Copilot,11,-0.43499090909090915,0.05833333333333333,0.6363636363636364,0,33373292,2.4849066497880004
3210268722.0,Devin,1,0.5106,0.4,0.0,1,350360184,0.6931471805599453
3210294287.0,Copilot,9,-0.047099999999999996,0.18333333333333332,0.2222222222222222,0,335571729,2.302585092994046
3210321906.0,Copilot,2,0.418,-0.025,0.0,0,241248985,1.0986122886681098
3210323907.0,Copilot,6,0.14291666666666666,0.12222222222222222,0.16666666666666666,1,2928944,1.9459101490553132
3210633319.0,Copilot,1,0.0,0.0,0.0,1,978331188,0.6931471805599453
3210682652.0,Devin,2,-0.7851,0.09139610389610389,0.0,0,297778512,1.0986122886681098
3210755490.0,Copilot,9,-0.00787777777777778,0.002222222222222212,0.2222222222222222,1,426716366,2.302585092994046
3210760092.0,Cursor,2,0.064,-0.05,0.5,0,249615315,1.0986122886681098
3210776113.0,Copilot,3,-0.3041666666666667,0.1119047619047619,0.0,0,699541203,1.3862943611198906
3210800471.0,Copilot,21,0.13882380952380952,0.09409528963100391,0.23809523809523808,1,2928944,3.091042453358316
3210804035.0,Copilot,1,0.5574,0.0,0.0,0,990530426,0.6931471805599453
3210823906.0,Devin,1,0.992,0.13082549634273768,0.0,0,710601088,0.6931471805599453
3210824774.0,Copilot,10,0.04394,0.18723922902494333,0.4,1,193681111,2.3978952727983707
3210834321.0,Copilot,1,-0.743,0.07714285714285712,0.0,1,193681111,0.6931471805599453
3210836309.0,Copilot,1,0.0,-0.05,1.0,0,2928944,0.6931471805599453
3210898758.0,Copilot,3,0.32953333333333334,0.08333333333333333,0.0,1,416855086,1.3862943611198906
3210960716.0,Copilot,2,-0.455,0.0,0.5,0,867014724,1.0986122886681098
3210965204.0,Copilot,1,0.0,0.0,0.0,1,732798198,0.6931471805599453
3211119439.0,Copilot,4,-0.009750000000000009,-0.125,0.5,1,416855086,1.6094379124341003
3211256178.0,Copilot,2,-0.041149999999999964,0.31666666666666665,0.0,1,232668984,1.0986122886681098
3211507551.0,Copilot,3,0.05050000000000001,0.0,0.0,1,54298946,1.3862943611198906
3211605383.0,Copilot,2,0.324,0.33333333333333337,0.0,1,232668984,1.0986122886681098
3211680515.0,Copilot,2,-0.148,0.0,0.5,0,125729811,1.0986122886681098
